검색어,플랫폼,게시물 URL,게시물 제목,게시물 내용,게시물 등록일자,계정명,수집시간,원본기사,복사율
헤럴드경제,1.뽐뿌,"=HYPERLINK(""https://www.ppomppu.co.kr/zboard/view.php?id=stock&no=316732&keyword=%C7%EC%B7%B2%B5%E5%B0%E6%C1%A6"")","미국 민주당, 트럼프와 여성 함께 찍힌 엡스타인 사진 공개","미성년자 성착취범 고(故) 제프리 엡스타인이 보관해온 사진으로 도널드 트럼프 대통령과 엡스타인이 한 여성과 대화하고 있다. 미국 하원 감독위원회 소속 민주당 의원들이 12일(현지시간) 이 사진을 공개했다. [ AFP ] [헤럴드경제=김보영 기자] [속보] 美민주, 트럼프와 여성 함께 찍힌 ‘엡스타인 사진’ 공개 미성년자 성착취범 고(故) 제프리 엡스타인이 보관해온 사진으로 도널드 트럼프 대통령이 여러 여성과 나란히 있다. 미국 하원 감독위원회 소속 민주당 의원들이 12일(현지시간) 이 사진을 공개했다. [ AP ]",2025-12-13,오잉아잉~,2025-12-13,"=HYPERLINK(""https://n.news.naver.com/mnews/article/016/0002571505?sid=104"")",0.658
헤럴드경제,1.뽐뿌,"=HYPERLINK(""https://www.ppomppu.co.kr/zboard/view.php?id=freeboard&no=9757911&keyword=%C7%EC%B7%B2%B5%E5%B0%E6%C1%A6"")","속보] 미국 민주당, 트럼프와 여성 함께 찍힌 엡스타인 사진 공개","ㄷㄷㄷ 미성년자 성착취범 고(故) 제프리 엡스타인이 보관해온 사진으로 도널드 트럼프 대통령과 엡스타인이 한 여성과 대화하고 있다. 미국 하원 감독위원회 소속 민주당 의원들이 12일(현지시간) 이 사진을 공개했다. [ AFP ] [헤럴드경제=김보영 기자] [속보] 美민주, 트럼프와 여성 함께 찍힌 ‘엡스타인 사진’ 공개 미성년자 성착취범 고(故) 제프리 엡스타인이 보관해온 사진으로 도널드 트럼프 대통령이 여러 여성과 나란히 있다. 미국 하원 감독위원회 소속 민주당 의원들이 12일(현지시간) 이 사진을 공개했다. [ AP ] [헤럴드경제=김보영 기자] [속보] 美민주, 트럼프와 여성 함께 찍힌 ‘엡스타인 사진’ 공개",2025-12-13,오잉아잉~,2025-12-13,"=HYPERLINK(""https://n.news.naver.com/mnews/article/016/0002571505?sid=104"")",0.564
매칭건수,2건,,,,,,,,
0.3 이상,2건,,,,,,,,
0.8 이상,0건,,,,,,,,
