검색어,플랫폼,게시물 URL,게시물 제목,게시물 내용,게시물 등록일자,계정명,수집시간
SBS,웹페이지(뽐뿌),https://www.ppomppu.co.kr/zboard/view.php?id=freeboard&no=9756543&keyword=SBS,매일 하나씩 망해요.. '사상 최대' 폐업중인 이 사업,정확히는 하루 하나가 아니고 하루 1.6개 망한다네요. 분양가는 지방도 같이 올랐다는데?? ! 지금 SBS 휘청휘청 / KBS 휘청휘청 홈플 = 부도 확정 한국GM = 빤스런 확정 건설 = 태영 / 롯데 등등 홈플러스 부터 제대로 된 메세지 줘야 한다고 봅니다. 응 세금으로 절대 안살려줘!!! 누구 살려주고 누구 안살려주고 응 모두 안살려 메세지 줘야합니다.,2025-12-12,kuma777,2025-12-12
SBS,웹페이지(뽐뿌),https://www.ppomppu.co.kr/zboard/view.php?id=freeboard&no=9756543&keyword=SBS,매일 하나씩 망해요.. '사상 최대' 폐업중인 이 사업,정확히는 하루 하나가 아니고 하루 1.6개 망한다네요. 분양가는 지방도 같이 올랐다는데?? ! 지금 SBS 휘청휘청 / KBS 휘청휘청 홈플 = 부도 확정 한국GM = 빤스런 확정 건설 = 태영 / 롯데 등등 홈플러스 부터 제대로 된 메세지 줘야 한다고 봅니다. 응 세금으로 절대 안살려줘!!! 누구 살려주고 누구 안살려주고 응 모두 안살려 메세지 줘야합니다.,2025-12-12,kuma777,2025-12-12
SBS,웹페이지(뽐뿌),https://www.ppomppu.co.kr/zboard/view.php?id=freeboard&no=9756543&keyword=SBS,매일 하나씩 망해요.. '사상 최대' 폐업중인 이 사업,정확히는 하루 하나가 아니고 하루 1.6개 망한다네요. 분양가는 지방도 같이 올랐다는데?? ! 지금 SBS 휘청휘청 / KBS 휘청휘청 홈플 = 부도 확정 한국GM = 빤스런 확정 건설 = 태영 / 롯데 등등 홈플러스 부터 제대로 된 메세지 줘야 한다고 봅니다. 응 세금으로 절대 안살려줘!!! 누구 살려주고 누구 안살려주고 응 모두 안살려 메세지 줘야합니다.,2025-12-12,kuma777,2025-12-12
SBS,웹페이지(뽐뿌),https://www.ppomppu.co.kr/zboard/view.php?id=freeboard&no=9756543&keyword=SBS,매일 하나씩 망해요.. '사상 최대' 폐업중인 이 사업,정확히는 하루 하나가 아니고 하루 1.6개 망한다네요. 분양가는 지방도 같이 올랐다는데?? ! 지금 SBS 휘청휘청 / KBS 휘청휘청 홈플 = 부도 확정 한국GM = 빤스런 확정 건설 = 태영 / 롯데 등등 홈플러스 부터 제대로 된 메세지 줘야 한다고 봅니다. 응 세금으로 절대 안살려줘!!! 누구 살려주고 누구 안살려주고 응 모두 안살려 메세지 줘야합니다.,2025-12-12,kuma777,2025-12-12
