검색어,플랫폼,게시물 URL,게시물 제목,게시물 내용,게시물 등록일자,계정명,수집시간
KBS,웹페이지(뽐뿌),https://www.ppomppu.co.kr/zboard/view.php?id=freeboard&no=9757860&keyword=KBS,[단독] 비공개 종묘 앞 시뮬레이션 ㄷㄷ.mp,"""분명히 이 정도면 위험 유산으로 경고를 받을 것 같다"", ""이게 종묘를 존중하는 디자인이냐""는  의견까지 나왔습니다. 하지만 결국  ""유산에 문제가 없도록 노력하자""는 심의 결론으로 마무리됐습니다.",2025-12-13,Scarlett,2025-12-13
KBS,웹페이지(뽐뿌),https://www.ppomppu.co.kr/zboard/view.php?id=freeboard&no=9758193&keyword=KBS,스즈메의 문단속 또 방영 시도한다는 KBS ㄷㄷ,Your browser does not support the video tag.,2025-12-13,lfsate,2025-12-13
KBS,웹페이지(뽐뿌),https://www.ppomppu.co.kr/zboard/view.php?id=freeboard&no=9757860&keyword=KBS,[단독] 비공개 종묘 앞 시뮬레이션 ㄷㄷ.mp,"""분명히 이 정도면 위험 유산으로 경고를 받을 것 같다"", ""이게 종묘를 존중하는 디자인이냐""는  의견까지 나왔습니다. 하지만 결국  ""유산에 문제가 없도록 노력하자""는 심의 결론으로 마무리됐습니다.",2025-12-13,Scarlett,2025-12-13
