검색어,플랫폼,게시물 URL,게시물 제목,게시물 내용,게시물 등록일자,계정명,수집시간
한국일보,웹페이지(뽐뿌),https://www.ppomppu.co.kr/zboard/view.php?id=freeboard&no=9756778&keyword=%C7%D1%B1%B9%C0%CF%BA%B8,신라호텔 이부진 아들 서울대 경제 합격이라고,경영과 갈 줄 알았는데 경제과 갔다네요 하긴 mba 같은 거 할 거 같은데 학부에서 경영 배울 이유 없긴 하죠 수시전형 합격,2025-12-12,지나다,2025-12-12
한국일보,웹페이지(뽐뿌),https://www.ppomppu.co.kr/zboard/view.php?id=freeboard&no=9756778&keyword=%C7%D1%B1%B9%C0%CF%BA%B8,신라호텔 이부진 아들 서울대 경제 합격이라고,경영과 갈 줄 알았는데 경제과 갔다네요 하긴 mba 같은 거 할 거 같은데 학부에서 경영 배울 이유 없긴 하죠 수시전형 합격,2025-12-12,지나다,2025-12-12
한국일보,웹페이지(뽐뿌),https://www.ppomppu.co.kr/zboard/view.php?id=freeboard&no=9756778&keyword=%C7%D1%B1%B9%C0%CF%BA%B8,신라호텔 이부진 아들 서울대 경제 합격이라고,경영과 갈 줄 알았는데 경제과 갔다네요 하긴 mba 같은 거 할 거 같은데 학부에서 경영 배울 이유 없긴 하죠 수시전형 합격,2025-12-12,지나다,2025-12-12
