검색어,플랫폼,게시물 URL,게시물 제목,게시물 내용,게시물 등록일자,계정명,수집시간
이데일리,웹페이지(뽐뿌),https://www.ppomppu.co.kr/zboard/view.php?id=freeboard&no=9758011&keyword=%C0%CC%B5%A5%C0%CF%B8%AE,"내란특검) 헌법재판관 후보 미임명, 한덕수와 최상목은 직무유기죄로 기소한다",한덕수 전 국무총리와 최상목 전 기재부 장관이 국회가 추천한 헌법재판관 후보를 미임명한 것과 관련해서는 직무유기로 재판에 넘겨졌다.  중요 포인트: 범죄가 단 하루라 할지라도 공개적 미임명을 명백히 표명했기에 범죄구성됨!!,2025-12-13,하늘바람터,2025-12-13
이데일리,웹페이지(뽐뿌),https://www.ppomppu.co.kr/zboard/view.php?id=freeboard&no=9758011&keyword=%C0%CC%B5%A5%C0%CF%B8%AE,"내란특검) 헌법재판관 후보 미임명, 한덕수와 최상목은 직무유기죄로 기소한다",한덕수 전 국무총리와 최상목 전 기재부 장관이 국회가 추천한 헌법재판관 후보를 미임명한 것과 관련해서는 직무유기로 재판에 넘겨졌다.  중요 포인트: 범죄가 단 하루라 할지라도 공개적 미임명을 명백히 표명했기에 범죄구성됨!!,2025-12-13,하늘바람터,2025-12-13
이데일리,웹페이지(뽐뿌),https://www.ppomppu.co.kr/zboard/view.php?id=freeboard&no=9758011&keyword=%C0%CC%B5%A5%C0%CF%B8%AE,"내란특검) 헌법재판관 후보 미임명, 한덕수와 최상목은 직무유기죄로 기소한다",한덕수 전 국무총리와 최상목 전 기재부 장관이 국회가 추천한 헌법재판관 후보를 미임명한 것과 관련해서는 직무유기로 재판에 넘겨졌다.  중요 포인트: 범죄가 단 하루라 할지라도 공개적 미임명을 명백히 표명했기에 범죄구성됨!!,2025-12-13,하늘바람터,2025-12-13
