검색어,플랫폼,게시물 URL,게시물 제목,게시물 내용,게시물 등록일자,계정명,수집시간
SBS,웹페이지(뽐뿌),https://www.ppomppu.co.kr/zboard/view.php?id=freeboard&no=9754326&keyword=SBS,"홍탁집 사장, 백종원 공개 응원지금까지도 큰 도움",근데 뉴스 댓글들이 많이 안좋네요 ㄷㄷㄷ,2025-12-10,cantik,2025-12-10
SBS,웹페이지(뽐뿌),https://www.ppomppu.co.kr/zboard/view.php?id=freeboard&no=9754031&keyword=SBS,'쿠팡 경영진' 처벌 못 한다법 개정 때문,"지난 2023년 2월 개인정보보호법이 개정돼 '안전성 확보에 필요한 조치를 하지 않은 자'에 대한 처벌 조항이 삭제됐기 때문입니다. 당시 정부가 '형벌은 완화하되 기업의 경제적 책임은 강화하는 방향으로 전환하겠다'며 형벌 대신 과징금을 올리는 방향으로 입법한 결과입니다. 해킹이나 고의 유출처럼 부정하게 개인정보를 취득한 이들에 대해서만 수사가 가능한 거라, 이번 사건의 경우 개인정보를 탈취한 것으로 지목된 중국 국적의 전직 직원은 수사 대상이지만, 쿠팡 경영진이나 법인에 대한 수사와 처벌은 불가능합니다. 검찰 관계자도 SBS에 ""대검 등 수사기관에 쿠팡 고발장이 여러 건 접수됐지만 관리 책임에 대한 수사에 착수할 방법은 현재로서는 없다""고 밝혔습니다. 입법 취지와 달리 법 개정 이후 기업들의 정보보호 투자는 오히려 뒷걸음질 치고 있습니다.",2025-12-10,케빈빔머,2025-12-10
SBS,웹페이지(뽐뿌),https://www.ppomppu.co.kr/zboard/view.php?id=money&no=537543&keyword=SBS,쿠팡 경영진 처벌 못 한다,에휴 개판  내개인정보 훔쳐간거 제대로 배상하라고요,2025-12-10,샘알트만,2025-12-10
