검색어,플랫폼,게시물 URL,게시물 제목,게시물 내용,게시물 등록일자,계정명,수집시간
한국일보,웹페이지(뽐뿌),https://www.ppomppu.co.kr/zboard/view.php?id=freeboard&no=9572169&keyword=%C7%D1%B1%B9%C0%CF%BA%B8,속보) 김건희특검 : 다음엔 물리력 써서 끌어낼것,꿀잼이겠네요 속옷만 입고 끌려나오려나,2025-08-01,카우봉고둥치울리태양,2025-08-01
한국일보,웹페이지(뽐뿌),https://www.ppomppu.co.kr/zboard/view.php?id=freeboard&no=9572163&keyword=%C7%D1%B1%B9%C0%CF%BA%B8,왜 나만 15만원? 소비쿠폰 민원에 117년 만의 폭염 공무원들 '오늘도 야근',"공무원들 이제 고생 좀 하네 분위기인데, 여러명 과로 자살 등으로 죽어나가면 그 때부터 대책 세우기 시작할거임........ 사람 죽어야 대책 나오는 건 예나 지금이나 같다.......",2025-08-01,티티티티파파파파,2025-08-01
한국일보,웹페이지(뽐뿌),https://www.ppomppu.co.kr/zboard/view.php?id=freeboard&no=9571859&keyword=%C7%D1%B1%B9%C0%CF%BA%B8,황제 접견 기사 더 안쓰나요??,한국일보 발인데 보지 마세요. 전에 조국 대표 황제수감이라고 기사쓰던데 윤석열 황제 접견 기사 안나오나?? 기레기들은 뭣들하고 있지,2025-08-01,oops10,2025-08-01
한국일보,웹페이지(뽐뿌),https://www.ppomppu.co.kr/zboard/view.php?id=freeboard&no=9571240&keyword=%C7%D1%B1%B9%C0%CF%BA%B8,[50억] 대만은 관세협상에 4000억달러를 제안했군요.,,2025-08-01,참이슬주세요,2025-08-01
