검색어,플랫폼,게시물 URL,게시물 제목,게시물 내용,게시물 등록일자,계정명,수집시간
이데일리,웹페이지(뽐뿌),https://www.ppomppu.co.kr/zboard/view.php?id=freeboard&no=9754615&keyword=%C0%CC%B5%A5%C0%CF%B8%AE,"홈플러스 익스프레스, 쿠팡이츠에 입점",‘홈플러스 익스프레스’를 쿠팡이츠에 입점시켰다. 대형마트 업체가 쿠팡이츠 퀵커머스(즉시 배송) 서비스에 입점한 것은 이번이 처음이다.,2025-12-10,miscellaneous,2025-12-10
이데일리,웹페이지(뽐뿌),https://www.ppomppu.co.kr/zboard/view.php?id=freeboard&no=9754479&keyword=%C0%CC%B5%A5%C0%CF%B8%AE,"경실련, 대통령비서실 부동산재산 분석결과 발표","경실련, 대통령비서실 부동산재산 분석결과 발표 평균 신고재산 23.9억…84.9%가 부동산 국민 평균 부동산재산보다 4.9배 많아 다주택자 비율 28.6%…국회의원(20.4%)보다 높아 ""정책 설계자들이 민감한 자산 구조 가져""",2025-12-10,박중훈,2025-12-10
이데일리,웹페이지(뽐뿌),https://www.ppomppu.co.kr/zboard/view.php?id=freeboard&no=9754133&keyword=%C0%CC%B5%A5%C0%CF%B8%AE,"현대로템, 페루에 K2 전차 차륜형장갑차 대규모 공급 총 195대 수출","페루 정부가 현대로템과 K2 전차 54대, 차륜형 장갑차 141대 등 총 195대 도입을 위한 기본 협정을 체결했다.",2025-12-10,eddiio,2025-12-10
