검색어,플랫폼,게시물 URL,게시물 제목,게시물 내용,게시물 등록일자,계정명,수집시간
MBC,웹페이지(뽐뿌),https://www.ppomppu.co.kr/zboard/view.php?id=freeboard&no=9757071&keyword=MBC,MBC)  회사 망한다는 생각들게.. 표정 싹 굳은 이재명 '살벌',쿠팡 너 들으라고 하는 소리야~~~ 소송하지 않으면 돈을 절대 안준다. 이제 우리도 집단소송 자동으로 법으로 바꾼다. 과징금과 개인손해배상은 별도이다. 쿠팡아 적자 어차피 5조 넘는데.. 빚 2~3조 더 늘어난다고 괜찮자나 나라 2조 내고 개인에게 1조쯤 지불하자 구독료 5만원으로 올리던 알아서 하고...,2025-12-12,kuma777,2025-12-12
MBC,웹페이지(뽐뿌),https://www.ppomppu.co.kr/zboard/view.php?id=freeboard&no=9756955&keyword=MBC,"이시언, 9억 시세차익 대박청약 당첨 신혼집 팔고 25억 한강뷰 입주",나혼산 나올 때 당첨된 그 아파트 살다가 팔았나 보네요!,2025-12-12,raisintea,2025-12-12
MBC,웹페이지(뽐뿌),https://www.ppomppu.co.kr/zboard/view.php?id=issue&no=730681&keyword=MBC,[MBC]통일교 2인자 윤영호 진술,핵심이 윤영호(뇌물공여 피의자)진술인데 직접 준것도 아니고 봤다 들었다 임. 권선동이와는 물증에서 차이가 나니 재래식언론 들 먹이감으로 쓰다가 버려지겠네요.,2025-12-12,RE-FORM,2025-12-12
MBC,웹페이지(뽐뿌),https://www.ppomppu.co.kr/zboard/view.php?id=pol_left&no=4610&keyword=MBC,이 대통령 지지율 62%로 상승민주당 44%국민의힘 20%,갓 잼통입니다!,2025-12-12,해피가이,2025-12-12
MBC,웹페이지(뽐뿌),https://www.ppomppu.co.kr/zboard/view.php?id=freeboard&no=9756549&keyword=MBC,"MBC) '신체 접촉 논란' 김완기 감독, 1년 6개월 자격정지 징계항소하겠다!",문자 = 폭언 인정 증거가 있는데.. 재심 해보면 뒤집기? 요즘은 이메일 문자 서류가 제일 좋고 핸드폰도 삼성 자동녹음 최고 입니다.,2025-12-12,kuma777,2025-12-12
MBC,웹페이지(뽐뿌),https://www.ppomppu.co.kr/zboard/view.php?id=freeboard&no=9756519&keyword=MBC,박나래 전매니저 녹취도 전부 가지고있다 ㄷㄷ.,박나래가 반박할때 하나씩 공개하겠다고 함 ㄷㄷ,2025-12-12,NVlDIA,2025-12-12
MBC,웹페이지(뽐뿌),https://www.ppomppu.co.kr/zboard/view.php?id=freeboard&no=9757125&keyword=MBC,장카설유 총출동하는,가요대전 라인업 공개 됐는데 4명이서 특별무대는 안하겠죠? 예전에 mbc에서 카설유는 했었는데 말이죠,2025-12-12,타임스톤,2025-12-12
MBC,웹페이지(뽐뿌),https://www.ppomppu.co.kr/zboard/view.php?id=freeboard&no=9757071&keyword=MBC,MBC)  회사 망한다는 생각들게.. 표정 싹 굳은 이재명 '살벌',쿠팡 너 들으라고 하는 소리야~~~ 소송하지 않으면 돈을 절대 안준다. 이제 우리도 집단소송 자동으로 법으로 바꾼다. 과징금과 개인손해배상은 별도이다. 쿠팡아 적자 어차피 5조 넘는데.. 빚 2~3조 더 늘어난다고 괜찮자나 나라 2조 내고 개인에게 1조쯤 지불하자 구독료 5만원으로 올리던 알아서 하고...,2025-12-12,kuma777,2025-12-12
MBC,웹페이지(뽐뿌),https://www.ppomppu.co.kr/zboard/view.php?id=freeboard&no=9756955&keyword=MBC,"이시언, 9억 시세차익 대박청약 당첨 신혼집 팔고 25억 한강뷰 입주",나혼산 나올 때 당첨된 그 아파트 살다가 팔았나 보네요!,2025-12-12,raisintea,2025-12-12
MBC,웹페이지(뽐뿌),https://www.ppomppu.co.kr/zboard/view.php?id=issue&no=730681&keyword=MBC,[MBC]통일교 2인자 윤영호 진술,핵심이 윤영호(뇌물공여 피의자)진술인데 직접 준것도 아니고 봤다 들었다 임. 권선동이와는 물증에서 차이가 나니 재래식언론 들 먹이감으로 쓰다가 버려지겠네요.,2025-12-12,RE-FORM,2025-12-12
MBC,웹페이지(뽐뿌),https://www.ppomppu.co.kr/zboard/view.php?id=pol_left&no=4610&keyword=MBC,이 대통령 지지율 62%로 상승민주당 44%국민의힘 20%,갓 잼통입니다!,2025-12-12,해피가이,2025-12-12
MBC,웹페이지(뽐뿌),https://www.ppomppu.co.kr/zboard/view.php?id=freeboard&no=9756549&keyword=MBC,"MBC) '신체 접촉 논란' 김완기 감독, 1년 6개월 자격정지 징계항소하겠다!",문자 = 폭언 인정 증거가 있는데.. 재심 해보면 뒤집기? 요즘은 이메일 문자 서류가 제일 좋고 핸드폰도 삼성 자동녹음 최고 입니다.,2025-12-12,kuma777,2025-12-12
MBC,웹페이지(뽐뿌),https://www.ppomppu.co.kr/zboard/view.php?id=freeboard&no=9756519&keyword=MBC,박나래 전매니저 녹취도 전부 가지고있다 ㄷㄷ.,박나래가 반박할때 하나씩 공개하겠다고 함 ㄷㄷ,2025-12-12,NVlDIA,2025-12-12
MBC,웹페이지(뽐뿌),https://www.ppomppu.co.kr/zboard/view.php?id=freeboard&no=9757125&keyword=MBC,장카설유 총출동하는,가요대전 라인업 공개 됐는데 4명이서 특별무대는 안하겠죠? 예전에 mbc에서 카설유는 했었는데 말이죠,2025-12-12,타임스톤,2025-12-12
MBC,웹페이지(뽐뿌),https://www.ppomppu.co.kr/zboard/view.php?id=freeboard&no=9757071&keyword=MBC,MBC)  회사 망한다는 생각들게.. 표정 싹 굳은 이재명 '살벌',쿠팡 너 들으라고 하는 소리야~~~ 소송하지 않으면 돈을 절대 안준다. 이제 우리도 집단소송 자동으로 법으로 바꾼다. 과징금과 개인손해배상은 별도이다. 쿠팡아 적자 어차피 5조 넘는데.. 빚 2~3조 더 늘어난다고 괜찮자나 나라 2조 내고 개인에게 1조쯤 지불하자 구독료 5만원으로 올리던 알아서 하고...,2025-12-12,kuma777,2025-12-12
MBC,웹페이지(뽐뿌),https://www.ppomppu.co.kr/zboard/view.php?id=freeboard&no=9756955&keyword=MBC,"이시언, 9억 시세차익 대박청약 당첨 신혼집 팔고 25억 한강뷰 입주",나혼산 나올 때 당첨된 그 아파트 살다가 팔았나 보네요!,2025-12-12,raisintea,2025-12-12
MBC,웹페이지(뽐뿌),https://www.ppomppu.co.kr/zboard/view.php?id=issue&no=730681&keyword=MBC,[MBC]통일교 2인자 윤영호 진술,핵심이 윤영호(뇌물공여 피의자)진술인데 직접 준것도 아니고 봤다 들었다 임. 권선동이와는 물증에서 차이가 나니 재래식언론 들 먹이감으로 쓰다가 버려지겠네요.,2025-12-12,RE-FORM,2025-12-12
MBC,웹페이지(뽐뿌),https://www.ppomppu.co.kr/zboard/view.php?id=pol_left&no=4610&keyword=MBC,이 대통령 지지율 62%로 상승민주당 44%국민의힘 20%,갓 잼통입니다!,2025-12-12,해피가이,2025-12-12
MBC,웹페이지(뽐뿌),https://www.ppomppu.co.kr/zboard/view.php?id=freeboard&no=9756549&keyword=MBC,"MBC) '신체 접촉 논란' 김완기 감독, 1년 6개월 자격정지 징계항소하겠다!",문자 = 폭언 인정 증거가 있는데.. 재심 해보면 뒤집기? 요즘은 이메일 문자 서류가 제일 좋고 핸드폰도 삼성 자동녹음 최고 입니다.,2025-12-12,kuma777,2025-12-12
MBC,웹페이지(뽐뿌),https://www.ppomppu.co.kr/zboard/view.php?id=freeboard&no=9756519&keyword=MBC,박나래 전매니저 녹취도 전부 가지고있다 ㄷㄷ.,박나래가 반박할때 하나씩 공개하겠다고 함 ㄷㄷ,2025-12-12,NVlDIA,2025-12-12
MBC,웹페이지(뽐뿌),https://www.ppomppu.co.kr/zboard/view.php?id=freeboard&no=9757552&keyword=MBC,mbc) 법원 무작위 재판 배당 아님 ㅋㅋㅋ,"큰 거 터진 듯 얼씨구???  내란 사건 무작위 배당 후보 재판부를 추리려고 인사이동 가능성과 업무량 등을 고려했더니, 14개 재판부 중 10여 곳이 빠지게 되자, 결국 4곳만 배제했습니다. 회의에선 더 주관적인 이야기도 오갔습니다. ""부패 사건 전담부가 사건을 맡아야 하는 것 아니냐""는 논의도 있었다는 겁니다. 법원 예규의 부패 사건에 내란죄는 포함돼 있지 않다 보니, 예규를 고쳐야한다는 말도 나왔다가 사후에 기준을 만들게 되는 문제로 없던 이야기가 됐습니다. 외부의 시선을 의식해 ""성폭력 전담 재판부를 배제하자""는 제안이 나온 것에 대해서 한 참석자는 ""'재판을 안 맡으려고 저러나'하는 생각이 들었다""고 당시 상황을 전하기도 했습니다.",2025-12-12,하늘바람터,2025-12-12
MBC,웹페이지(뽐뿌),https://www.ppomppu.co.kr/zboard/view.php?id=freeboard&no=9757549&keyword=MBC,[50억] 통일교 처리해 주며 보험 드는 것.. Y로 하면 좋겠다,"Your browser does not support the video tag. 20대 대선을 목전에 둔 2022년 2월, 통일교 주최로 열린 '한반도 평화 서밋'. 통일교는 이 행사에 참여할 해외 주요 인사와 이재명 대통령, 윤석열 전 대통령 등 당시 대선 후보의 만남을 추진했습니다. 1월 25일, 윤영호 전 통일교 세계본부장은 당시 통일교 간부와 통화에서 ""40만 달러든, 50만 달러든 우리가 후원한다 치고 정리하자""며 ""그거를 처리해 줘야 끈끈해지는 거고, 보험을 드는 거""라고 했습니다. 윤 전 대통령은 통일교 초청으로 내한한 마이크 펜스 전 미국 부통령을 만났습니다. (이하생략)",2025-12-12,참이슬주세요,2025-12-12
MBC,웹페이지(뽐뿌),https://www.ppomppu.co.kr/zboard/view.php?id=freeboard&no=9757487&keyword=MBC,나 혼자 산다 예고편 이상하네요?,"[나 혼자 산다 626회 예고] 골드 글러브 김하성의 빛나는 비시즌 & 리듬 타며 김장하는 키X카니, MBC 251212 방송 며칠전에 올라온예고편에는 키와 카니 함께 나오는에피소드가 나오네요??? 나혼자산다홈페이지에는 김하성에피소드만 적혀있네요 키 에피소드는 방영되는건지 안되는건지 애매하네요 선공개영상을 보면 스튜디오에는 키가 나오지않는것 같습니다",2025-12-12,별빛나무,2025-12-12
MBC,웹페이지(뽐뿌),https://www.ppomppu.co.kr/zboard/view.php?id=freeboard&no=9757461&keyword=MBC,MBC) '풀메'하고.. 사살했어도 돼 김민수 역대급 막말 '파문',6채 = 장동혁 플메 사살 = 김민수 윤어게인 당론으로 26년 선거 간다. 6채 장동혁 당대표 윤어게인으로 당대표 당선 80% vs 오세돈 소수 10% ~ 20% 내란은 사과하고 용서를 구하자 오세돈 젓가락이랑 한편하겠다. 빨리 당을 쪼개보자 Your browser does not support the video tag.,2025-12-12,kuma777,2025-12-12
