검색어,플랫폼,게시물 URL,게시물 제목,게시물 내용,게시물 등록일자,계정명,수집시간
MBC,웹페이지(뽐뿌),https://www.ppomppu.co.kr/zboard/view.php?id=freeboard&no=9757450&keyword=MBC,"mbc) 첫 뉴스, 윤영호 난 그런 진술한 적도 없고, 일면식도 없다",뭐하자는 거냐??,2025-12-12,하늘바람터,2025-12-12
MBC,웹페이지(뽐뿌),https://www.ppomppu.co.kr/zboard/view.php?id=money&no=537698&keyword=MBC,웨이브 제일 싸게 보는거 mgs+카드로 매달 결제하는거죠?,넷플만 결제해서 보고있는데 mbc예전 사극을 보고싶어서 웨이브 결제하려구요 11월인가 풀린 스탠다드 1년권이 77000이고 mgs카드로 1년 결제하면 75000이던데 현재 웨이브 제일 싸게보는건 mgs카드 맞을까요?,2025-12-12,premiumheart,2025-12-12
MBC,웹페이지(뽐뿌),https://www.ppomppu.co.kr/zboard/view.php?id=freeboard&no=9757361&keyword=MBC,"샤이니 키, 놀토 나혼산 불참","tvN 예능 프로그램 '놀라운 토요일' 측 관계자는 ""키는 예정된 해외 투어 일정으로 금주 '놀토' 녹화에 불참한다""라고 말했다. 매니저 갑질, 불법 의료 등의 논란에 휩싸여 먼저 활동 중단을 선언한 방송인 박나래도 이날 녹화에 참여하지 않았다. 오늘(12일) 밤 방송 예정인 MBC 예능 '나 혼자 산다'에도 키는 나오지 않는다. 지난 3일부터 오는 15일까지 진행하는 미국 투어 '2025 키랜드 : 언캐니 밸리'(2025 KEYLAND : Uncanny Valley) 일정 때문이다. 이미 예정된 불참이었다는 설명이다.",2025-12-12,별빛나무,2025-12-12
MBC,웹페이지(뽐뿌),https://www.ppomppu.co.kr/zboard/view.php?id=freeboard&no=9757125&keyword=MBC,장카설유 총출동하는,가요대전 라인업 공개 됐는데 4명이서 특별무대는 안하겠죠? 예전에 mbc에서 카설유는 했었는데 말이죠,2025-12-12,타임스톤,2025-12-12
MBC,웹페이지(뽐뿌),https://www.ppomppu.co.kr/zboard/view.php?id=freeboard&no=9757071&keyword=MBC,MBC)  회사 망한다는 생각들게.. 표정 싹 굳은 이재명 '살벌',쿠팡 너 들으라고 하는 소리야~~~ 소송하지 않으면 돈을 절대 안준다. 이제 우리도 집단소송 자동으로 법으로 바꾼다. 과징금과 개인손해배상은 별도이다. 쿠팡아 적자 어차피 5조 넘는데.. 빚 2~3조 더 늘어난다고 괜찮자나 나라 2조 내고 개인에게 1조쯤 지불하자 구독료 5만원으로 올리던 알아서 하고...,2025-12-12,kuma777,2025-12-12
MBC,웹페이지(뽐뿌),https://www.ppomppu.co.kr/zboard/view.php?id=freeboard&no=9756955&keyword=MBC,"이시언, 9억 시세차익 대박청약 당첨 신혼집 팔고 25억 한강뷰 입주",나혼산 나올 때 당첨된 그 아파트 살다가 팔았나 보네요!,2025-12-12,raisintea,2025-12-12
MBC,웹페이지(뽐뿌),https://www.ppomppu.co.kr/zboard/view.php?id=issue&no=730681&keyword=MBC,[MBC]통일교 2인자 윤영호 진술,핵심이 윤영호(뇌물공여 피의자)진술인데 직접 준것도 아니고 봤다 들었다 임. 권선동이와는 물증에서 차이가 나니 재래식언론 들 먹이감으로 쓰다가 버려지겠네요.,2025-12-12,RE-FORM,2025-12-12
MBC,웹페이지(뽐뿌),https://www.ppomppu.co.kr/zboard/view.php?id=pol_left&no=4610&keyword=MBC,이 대통령 지지율 62%로 상승민주당 44%국민의힘 20%,갓 잼통입니다!,2025-12-12,해피가이,2025-12-12
MBC,웹페이지(뽐뿌),https://www.ppomppu.co.kr/zboard/view.php?id=freeboard&no=9756549&keyword=MBC,"MBC) '신체 접촉 논란' 김완기 감독, 1년 6개월 자격정지 징계항소하겠다!",문자 = 폭언 인정 증거가 있는데.. 재심 해보면 뒤집기? 요즘은 이메일 문자 서류가 제일 좋고 핸드폰도 삼성 자동녹음 최고 입니다.,2025-12-12,kuma777,2025-12-12
MBC,웹페이지(뽐뿌),https://www.ppomppu.co.kr/zboard/view.php?id=freeboard&no=9756519&keyword=MBC,박나래 전매니저 녹취도 전부 가지고있다 ㄷㄷ.,박나래가 반박할때 하나씩 공개하겠다고 함 ㄷㄷ,2025-12-12,NVlDIA,2025-12-12
