검색어,플랫폼,게시물 URL,게시물 제목,게시물 내용,게시물 등록일자,계정명,수집시간
서울경제,웹페이지(뽐뿌),https://www.ppomppu.co.kr/zboard/view.php?id=freeboard&no=9758001&keyword=%BC%AD%BF%EF%B0%E6%C1%A6,고환율 덕분에.. 물가 상승 서민들은 힘드네요.,고환율 탓으로 수입물가 상승이 장난 아니네요.ㅠ.ㅠ 기준금리 올려야 환율/물가가 진정이 될꺼 같은데.. 월급쟁이 서민들 지갑만 털리고 있네요.ㅠ.ㅠ,2025-12-13,지구표준,2025-12-13
서울경제,웹페이지(뽐뿌),https://www.ppomppu.co.kr/zboard/view.php?id=stock&no=316748&keyword=%BC%AD%BF%EF%B0%E6%C1%A6,삼성 HBM 역전의 문 열렸다.gisa,"브로드컴이 단순 반도체 설계를 넘어 오픈AI, 엔스로픽 등 거대언어모델(LLM) 기업에 서버 랙 단위의 시스템을 통째로 공급하는 ‘큰 손’으로 변신하면서 HBM 시장 공급난이 가속화할 전망이다. 세계 1위 메모리 반도체 기업인 삼성전자에 기회의 문이 열렸다는 평가다. 이십만 전자 가나요? ㄷㄷㄷ",2025-12-13,Hee,2025-12-13
서울경제,웹페이지(뽐뿌),https://www.ppomppu.co.kr/zboard/view.php?id=freeboard&no=9758001&keyword=%BC%AD%BF%EF%B0%E6%C1%A6,고환율 덕분에.. 물가 상승 서민들은 힘드네요.,고환율 탓으로 수입물가 상승이 장난 아니네요.ㅠ.ㅠ 기준금리 올려야 환율/물가가 진정이 될꺼 같은데.. 월급쟁이 서민들 지갑만 털리고 있네요.ㅠ.ㅠ,2025-12-13,지구표준,2025-12-13
