검색어,플랫폼,게시물 URL,게시물 제목,게시물 내용,게시물 등록일자,계정명,수집시간
YTN,웹페이지(뽐뿌),https://www.ppomppu.co.kr/zboard/view.php?id=freeboard&no=9756584&keyword=YTN,서울지하철 노사 교섭서 1노조 교섭 결렬오늘 첫차부터 파업,,2025-12-12,Qwert0624,2025-12-12
YTN,웹페이지(뽐뿌),https://www.ppomppu.co.kr/zboard/view.php?id=freeboard&no=9756584&keyword=YTN,서울지하철 노사 교섭서 1노조 교섭 결렬오늘 첫차부터 파업,,2025-12-12,Qwert0624,2025-12-12
YTN,웹페이지(뽐뿌),https://www.ppomppu.co.kr/zboard/view.php?id=freeboard&no=9756584&keyword=YTN,서울지하철 노사 교섭서 1노조 교섭 결렬오늘 첫차부터 파업,,2025-12-12,Qwert0624,2025-12-12
YTN,웹페이지(뽐뿌),https://www.ppomppu.co.kr/zboard/view.php?id=freeboard&no=9756584&keyword=YTN,서울지하철 노사 교섭서 1노조 교섭 결렬오늘 첫차부터 파업,,2025-12-12,Qwert0624,2025-12-12
