검색어,플랫폼,게시물 URL,게시물 제목,게시물 내용,게시물 등록일자,계정명,수집시간
이투데이,웹페이지(뽐뿌),https://www.ppomppu.co.kr/zboard/view.php?id=stock&no=316653&keyword=%C0%CC%C5%F5%B5%A5%C0%CC,"[단독] 선행매매로 112억 번 기자, 이투데이-서울경제-서울경제TV 거쳤다",,2025-12-12,진공던지기,2025-12-12
이투데이,웹페이지(뽐뿌),https://www.ppomppu.co.kr/zboard/view.php?id=stock&no=316653&keyword=%C0%CC%C5%F5%B5%A5%C0%CC,"[단독] 선행매매로 112억 번 기자, 이투데이-서울경제-서울경제TV 거쳤다",,2025-12-12,진공던지기,2025-12-12
이투데이,웹페이지(뽐뿌),https://www.ppomppu.co.kr/zboard/view.php?id=stock&no=316653&keyword=%C0%CC%C5%F5%B5%A5%C0%CC,"[단독] 선행매매로 112억 번 기자, 이투데이-서울경제-서울경제TV 거쳤다",,2025-12-12,진공던지기,2025-12-12
