검색어,플랫폼,게시물 URL,게시물 제목,게시물 내용,게시물 등록일자,계정명,수집시간
머니투데이,웹페이지(뽐뿌),https://www.ppomppu.co.kr/zboard/view.php?id=stock&no=301730&keyword=%B8%D3%B4%CF%C5%F5%B5%A5%C0%CC,속보: 10억 상향 다시 검토..        그나마..,"오늘 매불쑈에서 ""진성준""  100번 한것 네요... 최욱이 다 한다. 10억은 못할것 같고 20..   머 이런 똥볼 안찼으면 좋겠습니다. 오늘 애프터장에서 반응 좀 봐보세요.",2025-08-01,kkk4,2025-08-01
머니투데이,웹페이지(뽐뿌),https://www.ppomppu.co.kr/zboard/view.php?id=stock&no=301726&keyword=%B8%D3%B4%CF%C5%F5%B5%A5%C0%CC,이제서야 10억 상향 검토,장난치는 것도 아니고... 보셨죠? 여기서 2찍이니 뮈니 떠드는 것들 그냥 무시하고 ㅈㄹㅈㄹ 거려야 바뀝니다. 참고 살면 그냥 개돼지 되는 겁니다.,2025-08-01,지르니까편해짐,2025-08-01
머니투데이,웹페이지(뽐뿌),https://www.ppomppu.co.kr/zboard/view.php?id=freeboard&no=9572151&keyword=%B8%D3%B4%CF%C5%F5%B5%A5%C0%CC,"[속보]김병기 세제 개편안, 10억원 대주주 기준 상향 가능성 검토",그래도 김병기는 뭐가 문제인지 알고있는 듯해서 다행입니다.,2025-08-01,암소리,2025-08-01
머니투데이,웹페이지(뽐뿌),https://www.ppomppu.co.kr/zboard/view.php?id=freeboard&no=9571283&keyword=%B8%D3%B4%CF%C5%F5%B5%A5%C0%CC,관세에 대한 언론의 보도,기존 관세가 우리는 0 일본 등은 이미 기존 관세가 있었고 정말 엄청나네요,2025-08-01,감사해용Ha,2025-08-01
