검색어,플랫폼,게시물 URL,게시물 제목,게시물 내용,게시물 등록일자,계정명,수집시간
서울경제,웹페이지(뽐뿌),https://www.ppomppu.co.kr/zboard/view.php?id=issue&no=728167&keyword=%BC%AD%BF%EF%B0%E6%C1%A6,윤석열 근황(feat.미친자),이렇게 알려졌지만  잠깐 떳다 기사 사라진듯 ㅋㅋㅋ 더워서 빤스만 입고 난동부린건가? 판사님 저는 우리 대석열께서 저럴분이 아니라고 믿어 의심하지 않습니다.,2025-08-01,망고의진리세상사이치,2025-08-01
서울경제,웹페이지(뽐뿌),https://www.ppomppu.co.kr/zboard/view.php?id=freeboard&no=9571935&keyword=%BC%AD%BF%EF%B0%E6%C1%A6,"[속보] 김건희 특검 윤, 바닥에 누워 체포 거부 다음엔 물리력 행사",,2025-08-01,도이치모녀스,2025-08-01
서울경제,웹페이지(뽐뿌),https://www.ppomppu.co.kr/zboard/view.php?id=freeboard&no=9571659&keyword=%BC%AD%BF%EF%B0%E6%C1%A6,"버티면 끌고 나온다던 특검, 그냥 빈손 철수?",이젠 일반인도 버티면 그냥 철수하려나? 버티는데 장사없다? 돼지 몸무게가 나가서 무거우면 중장비라도 동원해라!!,2025-08-01,onlyonly1,2025-08-01
서울경제,웹페이지(뽐뿌),https://www.ppomppu.co.kr/zboard/view.php?id=freeboard&no=9571649&keyword=%BC%AD%BF%EF%B0%E6%C1%A6,속보) 방송 3법 법사위 통과,잘한다!!! 이제 본회의 남음 ㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷ,2025-08-01,바람막이쪼아,2025-08-01
서울경제,웹페이지(뽐뿌),https://www.ppomppu.co.kr/zboard/view.php?id=freeboard&no=9571584&keyword=%BC%AD%BF%EF%B0%E6%C1%A6,ㅋㅋㅋ 10억에 대주주시켜준다고?,응 그러니까 세금도 대주주처럼 내세요ㅋㅋ,2025-08-01,너무덥다,2025-08-01
서울경제,웹페이지(뽐뿌),https://www.ppomppu.co.kr/zboard/view.php?id=freeboard&no=9571413&keyword=%BC%AD%BF%EF%B0%E6%C1%A6,"[속보] 트럼프, 인도 25% 대만 20% 남아공 30% 관세 캐나다 35%",캐나다는 25 -> 35 진짜 깡패나 다름없네  ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2025-08-01,바람막이쪼아,2025-08-01
