검색어,플랫폼,게시물 URL,게시물 제목,게시물 내용,게시물 등록일자,계정명,수집시간
KBS,웹페이지(뽐뿌),https://www.ppomppu.co.kr/zboard/view.php?id=humor&no=719879&keyword=KBS,KBS에 나온 저출산 위기 대응 신상 프로그램.,ㄷㄷ,2025-12-10,ablanca,2025-12-10
KBS,웹페이지(뽐뿌),https://www.ppomppu.co.kr/zboard/view.php?id=freeboard&no=9754746&keyword=KBS,1990년대중반까지만해도 중국집 짜장면 다음으로 우동이었습니다.,짬뽕으로 대세가 바뀐 이유가 개그맨 이창훈이 kbs 유머일번지에서 난 짜장은 정말 싫어. 난 짬뽕 이 유행어로 우동에서 짬뽕으로 완전 대세가 바뀌었습니다. 저는 이당시 짬뽕이 뭔지도 몰랐습니다.,2025-12-10,코카콜라10,2025-12-10
KBS,웹페이지(뽐뿌),https://www.ppomppu.co.kr/zboard/view.php?id=humor&no=719782&keyword=KBS,로봇 입고 방송 나온 KBS 기상캐스터 직접 만나봄 크랩,로봇 기술 대한민국 어느정도 가지고 있군요. 현대 아산병원 + 현대자동차 나오길레... 위화감이 전혀 없는 느낌 현대 아산병원 = 현대중공업이 가지고 있습니다.,2025-12-10,,2025-12-10
KBS,웹페이지(뽐뿌),https://www.ppomppu.co.kr/zboard/view.php?id=freeboard&no=9754383&keyword=KBS,천연풀장 테네리페섬 _관광객 4명사망 1명실종,"2025년 12월 7일 사고 발생  사고 당시 카나리아 제도 지역 정부는 인근 해상에서 파도가 2~3.5m 에 달할 것으로 예상해 경보를 발령한 상태였다. 지역 주민들은 악천후로 수영장에 들어가지 못하도록 표지판과 울타리가 설치됐지만, 수영객들이 이를 무시했다고 말했다. 테네리페섬은 카나리아 제도에서 가장 큰 섬으로 '유럽의 하와이'로 불릴 정도로 인기 있는 휴양지다. 지난달에도 테네리페섬에서 관광객들이 해안에 있다가 파도에 휩쓸리는 사고로 3명이 숨지고 최소 15 명이 다쳤다고 CBS 는 전했다. 링크가면 사고 당시 영상나오는데 무섭네요 ㄷㄷㄷ (KBS뉴스)",2025-12-10,자장구일주,2025-12-10
KBS,웹페이지(뽐뿌),https://www.ppomppu.co.kr/zboard/view.php?id=issue&no=730646&keyword=KBS,조로남불 is all around,털보는 조용할 예정 #털보는 입만열면~ #조로남불 포에버 #윤김 사형 #내란의 힘 해체,2025-12-10,현명한소비+,2025-12-10
KBS,웹페이지(뽐뿌),https://www.ppomppu.co.kr/zboard/view.php?id=freeboard&no=9754179&keyword=KBS,김진의 돌직구쇼(채널a) 이대로 놔둬야 합니까?,"극우편향 방송, 극우 사회자에 극우패널들만 바글바글 tv조선과 극우로 경쟁하는듯 문통때도 그리 씹어대는데도 빙시같이  '허허허~~'하다가 정권 뺏기고 순진한 사리분별 못하는 노인들 현혹시켜서, 반민주당 패걸이들 양산하는 방송 극우 유튜브 방송과 다름없음. 안보고 안들음되는데 청각도 안좋은 쇠뇌당한 모친이 아침만되면 kbs아침마당 시청하다 시간되면 정학히 채널a 돌직구쇼로 변경하는데 이후 들리는 개소리에 혈압상승함 대통령과 민주당 정청래는 손놓고 있는지요?",2025-12-10,성산동반세기,2025-12-10
KBS,웹페이지(뽐뿌),https://www.ppomppu.co.kr/zboard/view.php?id=youtube_info&no=12840&keyword=KBS,로봇 입고 방송 나온 KBS 기상캐스터,,2025-12-10,별빛나무,2025-12-10
KBS,웹페이지(뽐뿌),https://www.ppomppu.co.kr/zboard/view.php?id=money&no=537540&keyword=KBS,스타뱅킹 스타드림 룰렛 돌려보세요,저는 꽝..세차권 당첨이네요 ㅠㅠ,2025-12-10,띠리띠리야,2025-12-10
