검색어,플랫폼,게시물 URL,게시물 제목,게시물 내용,게시물 등록일자,계정명,수집시간
MBN,웹페이지(뽐뿌),https://www.ppomppu.co.kr/zboard/view.php?id=alopecia&no=15901&keyword=MBN,인도 셀러,"10일만에 받았다는 다른 분 글 보고 주문해봤는데, 12/2 송금, 오늘(12/12) 도착.  통관 문제시 반송 완료되면 다시 보내준다고 했음. 카톡응대 빠름. 돈 받고도 바로 연락옴. 좀 전에 물건 받았다고 하니 바로 응대하면서. 자기 좀 커뮤니티에 추천해 주라고 해서 아이디 올립니다. 이 사람도 물량 많아지면 태도가 변하겠지만, 필요하신 분들은 연락해 보세요. 구글맵에 주소 찾아보니 사무실도 나름 깔끔한것 같네요.  셀러 홈피  카톡:  med365 가격이나 약 종류 이런건 직접 문의하세요",2025-12-12,케베쳄이,2025-12-12
MBN,웹페이지(뽐뿌),https://www.ppomppu.co.kr/zboard/view.php?id=issue&no=730680&keyword=MBN,통일교 윤영호 측 직접 건넸다는 것 아냐,"뭐? 윤영호 자체가 통일교 한총재 딱가리에다가 뇌물공여 피의자. 특검진술에서 나경원, 정동영, 전재수 등 정치인 이름이 등장한 것을 국수본에 넘겼고(특검종료) 수사 철저히 해야겠죠. 다만 언제나 그랬듯이 재래식 언론들은 이때다 싶은 모양이네요. Mbn 단독인데 전재수 의원 꼭 명예회복 하길 바래봅니다.",2025-12-12,RE-FORM,2025-12-12
MBN,웹페이지(뽐뿌),https://www.ppomppu.co.kr/zboard/view.php?id=alopecia&no=15901&keyword=MBN,인도 셀러,"10일만에 받았다는 다른 분 글 보고 주문해봤는데, 12/2 송금, 오늘(12/12) 도착.  통관 문제시 반송 완료되면 다시 보내준다고 했음. 카톡응대 빠름. 돈 받고도 바로 연락옴. 좀 전에 물건 받았다고 하니 바로 응대하면서. 자기 좀 커뮤니티에 추천해 주라고 해서 아이디 올립니다. 이 사람도 물량 많아지면 태도가 변하겠지만, 필요하신 분들은 연락해 보세요. 구글맵에 주소 찾아보니 사무실도 나름 깔끔한것 같네요.  셀러 홈피  카톡:  med365 가격이나 약 종류 이런건 직접 문의하세요",2025-12-12,케베쳄이,2025-12-12
MBN,웹페이지(뽐뿌),https://www.ppomppu.co.kr/zboard/view.php?id=issue&no=730680&keyword=MBN,통일교 윤영호 측 직접 건넸다는 것 아냐,"뭐? 윤영호 자체가 통일교 한총재 딱가리에다가 뇌물공여 피의자. 특검진술에서 나경원, 정동영, 전재수 등 정치인 이름이 등장한 것을 국수본에 넘겼고(특검종료) 수사 철저히 해야겠죠. 다만 언제나 그랬듯이 재래식 언론들은 이때다 싶은 모양이네요. Mbn 단독인데 전재수 의원 꼭 명예회복 하길 바래봅니다.",2025-12-12,RE-FORM,2025-12-12
MBN,웹페이지(뽐뿌),https://www.ppomppu.co.kr/zboard/view.php?id=alopecia&no=15901&keyword=MBN,인도 셀러,"10일만에 받았다는 다른 분 글 보고 주문해봤는데, 12/2 송금, 오늘(12/12) 도착.  통관 문제시 반송 완료되면 다시 보내준다고 했음. 카톡응대 빠름. 돈 받고도 바로 연락옴. 좀 전에 물건 받았다고 하니 바로 응대하면서. 자기 좀 커뮤니티에 추천해 주라고 해서 아이디 올립니다. 이 사람도 물량 많아지면 태도가 변하겠지만, 필요하신 분들은 연락해 보세요. 구글맵에 주소 찾아보니 사무실도 나름 깔끔한것 같네요.  셀러 홈피  카톡:  med365 가격이나 약 종류 이런건 직접 문의하세요",2025-12-12,케베쳄이,2025-12-12
MBN,웹페이지(뽐뿌),https://www.ppomppu.co.kr/zboard/view.php?id=issue&no=730680&keyword=MBN,통일교 윤영호 측 직접 건넸다는 것 아냐,"뭐? 윤영호 자체가 통일교 한총재 딱가리에다가 뇌물공여 피의자. 특검진술에서 나경원, 정동영, 전재수 등 정치인 이름이 등장한 것을 국수본에 넘겼고(특검종료) 수사 철저히 해야겠죠. 다만 언제나 그랬듯이 재래식 언론들은 이때다 싶은 모양이네요. Mbn 단독인데 전재수 의원 꼭 명예회복 하길 바래봅니다.",2025-12-12,RE-FORM,2025-12-12
