검색어,플랫폼,게시물 URL,게시물 제목,게시물 내용,게시물 등록일자,계정명,수집시간
한겨레,웹페이지(뽐뿌),https://www.ppomppu.co.kr/zboard/view.php?id=issue&no=730637&keyword=%C7%D1%B0%DC%B7%B9,[50억] 오늘의 만평 - 탈출,죄를 지은 놈은 벌을 줘야죠.,2025-12-10,참이슬주세요,2025-12-10
한겨레,웹페이지(뽐뿌),https://www.ppomppu.co.kr/zboard/view.php?id=freeboard&no=9754958&keyword=%C7%D1%B0%DC%B7%B9,검찰 공개영상?에 대한 백해룡의 코멘트,현장검증때 지들끼리 쑥덕거렸다고 모든걸 거짓으로 치부하기엔 나무위키를 읽어보면 이미 등록된 의심자가 아무 제지 없이 통과된것 자체가 설명이 안되는 듯 2025년 1월 24일 한겨레 의 단독 보도에 따르면 2023년 1월 23일부터 2월 27일까지 인천과 김해공항을 통해 총 12차례에 걸쳐 최대 111kg의 필로폰을 밀반입이 됐는데 이 과정에서 세관에 의해 특정된 마약 우범자들이 총 12명이었다. 세관은 이 12명을 사전정보분석시스템 아피스에 등록했지만 어째서인지 등록된 마약 밀매범 2명에 대해 세관의 어떠한 몸수색이나 체포도 없었고 결국 이 두명이 한국에 입국해서 대량의 마약 반입을 위한 거점을 마련했다고 한다. 그리고 이 마약 밀매범 2명이 우연히 마약수사팀도 아닌 강력팀 백해룡 수사팀이 체포하고 수사를 통해서 이들이 반입한 마약을 압수하면서 이 모든 일이 시작되게 된 것이었다. #,2025-12-10,라미니오스,2025-12-10
한겨레,웹페이지(뽐뿌),https://www.ppomppu.co.kr/zboard/view.php?id=issue&no=730637&keyword=%C7%D1%B0%DC%B7%B9,[50억] 오늘의 만평 - 탈출,죄를 지은 놈은 벌을 줘야죠.,2025-12-10,참이슬주세요,2025-12-10
