검색어,플랫폼,게시물 URL,게시물 제목,게시물 내용,게시물 등록일자,계정명,수집시간
헤럴드경제,웹페이지(뽐뿌),https://www.ppomppu.co.kr/zboard/view.php?id=freeboard&no=9756841&keyword=%C7%EC%B7%B2%B5%E5%B0%E6%C1%A6,승객보다 승무원이 많아대한항공 괌 노선 좌석 유지 명령 두고 시끌,180명 정원에 3명 탑승이면 전세기네~ㅋ,2025-12-12,s크리스탈,2025-12-12
헤럴드경제,웹페이지(뽐뿌),https://www.ppomppu.co.kr/zboard/view.php?id=freeboard&no=9756841&keyword=%C7%EC%B7%B2%B5%E5%B0%E6%C1%A6,승객보다 승무원이 많아대한항공 괌 노선 좌석 유지 명령 두고 시끌,180명 정원에 3명 탑승이면 전세기네~ㅋ,2025-12-12,s크리스탈,2025-12-12
헤럴드경제,웹페이지(뽐뿌),https://www.ppomppu.co.kr/zboard/view.php?id=freeboard&no=9756841&keyword=%C7%EC%B7%B2%B5%E5%B0%E6%C1%A6,승객보다 승무원이 많아대한항공 괌 노선 좌석 유지 명령 두고 시끌,180명 정원에 3명 탑승이면 전세기네~ㅋ,2025-12-12,s크리스탈,2025-12-12
