검색어,플랫폼,게시물 URL,게시물 제목,게시물 내용,게시물 등록일자,계정명,수집시간
YTN,웹페이지(뽐뿌),https://www.ppomppu.co.kr/zboard/view.php?id=freeboard&no=9754518&keyword=YTN,[ytn 속보] 코레일 노조협상 결렬 내일서부터 총파업 돌입 합니다,[ytn 속보]  코레일 노조협상 결렬 내일서부터 총파업 돌입 합니다 철도 지하철이 영향이 있을것 입니다,2025-12-10,김수진수진,2025-12-10
YTN,웹페이지(뽐뿌),https://www.ppomppu.co.kr/zboard/view.php?id=stock&no=316457&keyword=YTN,"몸값 5조엘유프로, 코스닥 상장 청신호","기사가 2024년부터만 있던데? 되게 유망한 회사인가요? 첨들어 보는데 기사도 없고 신기; 글로벌ai카메라, 그린수소 암모니아 자원생산 사업을 한다는데, 아직 생산도 안했는데 공급만 사업 하는 쪽이 오만, 태국, 인터뷰 하는 사람들은 다 나이든 사람만 하고; 전 국무총리랑 찍은 기사 본사주소 : (08513) 서울 금천구 벚꽃로 234, 1904호 (가산동,에이스하이엔드타워6차) (주)엘유프로 회사 소개 영상도 그렇고; 주소지도 ; 신기~  몸값5조... 그린수소 그린암모니아 자원생산·최첨단 인공지능( AI ) 카메라 생산기업 엘유프로가 초대형 글로벌 프로젝트 가시화로 대규모 성장 잠재력을 주목받으면서 코스닥 상장에 청신호가 켜졌다. 앞서 엘유프로는 지난 10월 삼정 KPMG 으로부터 해외 그린수소·그린암모니아 자원생산 사업이 5조원의 가치가 있다고 평가 받은 바 있다. 엘유프로는 태국, UAE 등지에서 그린수소·그린암모니아 자원생산 사업을 본격화하고 있다고 10일 밝혔다. 업계에서는 그린에너지와 AI 카메라, 양대 축을 바탕으로 한 엘유프로의 기업 구조가 안정적 실적과 고성장 비전의 균형을 갖춘 사업모델로 평가되고 있는 만큼 엘유프로가 IPO 에 성공할 경우 기업가치가 상승할 가능성이 크다는 의견이 나온다. 엘유프로는 생산·저장·운송·벙커링까지 연결되는 통합 에너지 밸류체인 구축을 목표로 하고 있다. 태국과 UAE 에서 생산될 그린암모니아를 전북 새만금항 신항으로 들여와 국내 산업체·발전사에 공급하는 역할을 수행하게 된다. 카메라 분야에서도 결실을 앞두고 있다. 엘유프로는 태국 주요 보안기관과 협력, 주야간 초장거리 피사체 식별이 가능한 최첨단 AI 카메라를 국경에 배치하는 프로젝트를 추진하고 있다. 제품 성능 검증은 이미 완료되었으며 국가 단위 보안 인프라 적용을 태국 측과 논의 중이다. 또한 UAE 아부다비에 최첨단 AI 카메라 제조공장을 건립 중이며, 2026년 상반기 완공을 목표로 제조설비·생산 체계 구축을 진행 중이다. UAE 아부다비 공장에서 군·항만·국경경계 시스템에 필요한 최고급 AI 카메라를 생산, 중동·유럽·아시아 시장으로 직수출할 계획이다.",2025-12-10,오잉아잉~,2025-12-10
YTN,웹페이지(뽐뿌),https://www.ppomppu.co.kr/zboard/view.php?id=freeboard&no=9754381&keyword=YTN,일본 오키나와 누비는 중국 항모폭격기 '무력시위',ㄷㄷㄷ,2025-12-10,Qwert0624,2025-12-10
YTN,웹페이지(뽐뿌),https://www.ppomppu.co.kr/zboard/view.php?id=freeboard&no=9754328&keyword=YTN,김건희특검에서 양평 ytn 관련 수사도 진행하고있나요?,관련해서 결과가 아직 안나온거죠? 양평은 현 국짐의원 소환한다고 나오긴했는데. 원희룡소환소식도 없고,2025-12-10,계란간장밥,2025-12-10
YTN,웹페이지(뽐뿌),https://www.ppomppu.co.kr/zboard/view.php?id=freeboard&no=9753955&keyword=YTN,독도에 손 뻗치는 다카이치.. 국제법상으로도 명백히 일본 영토  YTN,짱개 모가지 짤린다니까 깨개개개깽 하더니... 역시 만만한 한국이냐? ㅎㅎㅎㅎㅎ 아베 시즌2 일본 여행 단절 유니클로 불매 맥주 불매 가즈아~ 하면 안하겠죠? 아무튼 도발기는 들어왔네요.,2025-12-10,,2025-12-10
