검색어,플랫폼,게시물 URL,게시물 제목,게시물 내용,게시물 등록일자,계정명,수집시간
MBC,1.뽐뿌,https://www.ppomppu.co.kr/zboard/view.php?id=freeboard&no=9754600&keyword=MBC,"박나래 갑질 의혹 터졌는데장영란, 눈부신 미담 박봉 매니저 월급 올려줘",미담은 칭찬해줘야죠~,2025-12-10,낭만늑대,2025-12-10
MBC,1.뽐뿌,https://www.ppomppu.co.kr/zboard/view.php?id=humor&no=719799&keyword=MBC,"손님 들어와도 쳐다도 안본다, 5조 올리브영 영업 비밀","지난달 20일 서울 마포구 올리브영 상암 MBC 점. 매장 문을 열자 재고를 정리하던 직원이 인사를 건넸지만 시선은 여전히 상품 진열대에 있었다. 핸드크림을 발라보고 샴푸 코너에서 몇 가지 제품을 비교해 보는 15분 동안 다가와 말을 거는 이는 없었다. 쇼핑을 마치고 계산대에서 받은 질문은 딱 두개. “적립하시나요?”와 “쇼핑백 필요하신가요?” ‘말 걸지 않는’ 이 희한한(?) 응대 방식은 전국 어느 올리브영 매장을 가든 똑같다. 30분, 1시간을 머물러도 직원이 손님에게 다가와 물건을 권하거나 오래 구경한다고 눈치 주는 법이 없다. 고객이 부담없이 견본품을 체험해 보고 구경하도록 내버려 두는, 일명 ‘올리브영 하프( half ) 응대’다. 하프 응대의 원칙은 고객이 부르기 전까지는 다가가지 않는다는 것. 이런 의도된 무관심 전략은 10대 청소년은 물론 40대 중년 남성층도 올리브영으로 끌어들였다.",2025-12-10,ablanca,2025-12-10
MBC,1.뽐뿌,https://www.ppomppu.co.kr/zboard/view.php?id=freeboard&no=9754573&keyword=MBC,"티아라 함은정, 새 일일 드라마 제작발표 사진","배우 함은정이 10일 오전 서울 상암동 MBC 신사옥에서 열린 새 일일드라마 '첫 번째 남자'(극본 서현주, 안진영, 연출 강태흠) 제작발표회에 참석해 포토타임을 갖고 있다. 함은정, 오현경, 윤선우, 박건일, 김민설, 이재황, 정찬 주연의 '첫 번째 남자'는 복수를 위하여 다른 사람의 삶을 살게 된 여자와 자신의 욕망을 위하여 다른 사람의 삶을 빼앗은 여자의 목숨을 건 치명적 대결을 그린 드라마로 오는 15일 첫 방송 예정이다",2025-12-10,,2025-12-10
MBC,1.뽐뿌,https://www.ppomppu.co.kr/zboard/view.php?id=freeboard&no=9754550&keyword=MBC,MBC 자식 연락도 안되는데 26년 만에 폐지,사실적시 명예훼손 같이 삭제하면 좋을듯.. 돈 많이 버는데 부모버린 자식들 해서 홈페이지 만들어서 실물 사진 박아두면 부모님 모시겠죠? 이혼했는데.. 자녀 양육비 안주는 xx 홈페이지 만들어 실물 사진 박아두는거랑 비슷합니다.,2025-12-10,,2025-12-10
MBC,1.뽐뿌,https://www.ppomppu.co.kr/zboard/view.php?id=freeboard&no=9754528&keyword=MBC,MBC) 독도는.. 다카아치 망언에 '이건 아냐' 이재명 즉각 대응,윤석열 정부 독도에 일본 군함이 들어왔다. 정권 바귀었다. Your browser does not support the video tag.,2025-12-10,,2025-12-10
MBC,1.뽐뿌,https://www.ppomppu.co.kr/zboard/view.php?id=freeboard&no=9754488&keyword=MBC,"강훈식) 유시민 영상, 대통령실 전 직원과 공유했다","강훈식 대통령 비서실장이 “유시민 작가 영상을 보고, 보도를 보고 내가 대통령실 전 직원과 공유했다”고 말했다. 앞서 유시민 전 노무현재단 이사장은 대통령실을 향해 “우리가 하는 모든 통화, 메시지가 모두 도청되고 있다, 조선일보나 모든 재래식 언론 기자들에게 다 들어간다고 생각해야 한다”고 말한 바 있다. 강 실장은 지난 9일 문화방송(MBC) 뉴스데스크에 출연해 “유시민 작가가 ‘이럴 때 더 조심해야 하고 오가는 말이나 여러 가지 메시지 등을 누군가 보고 있다고 생각해야 한다’고 했는데 대통령실 분위기는 어떠냐”는 질문에 이같이 말했다.",2025-12-10,하늘바람터,2025-12-10
MBC,1.뽐뿌,https://www.ppomppu.co.kr/zboard/view.php?id=freeboard&no=9754322&keyword=MBC,"지드래곤 김태호 PD, 다시 만난다","지드래곤이 이끌고 김태호 PD가 연출하고 MBC 예능 프로그램 '굿데이' 두번째 시즌이 제작된다. 김태호 PD는 앞서 9일 서울 강남구 한국과학기술회관에서 열린 제30회 소비자의 날 KCA 문화연예 시상식에 참석, 수상소감 도중 ""'굿데이2'가 나온다""고 언급했다. 그간 '굿데이2' 제작 가능성이 수차례 제기돼 왔지만 연출자 김태호 PD가 직접 '굿데이2'가 만들어진다고 밝힌 것은 이번이 처음이다. 김태호 PD 등 제작진과 지드래곤은 '굿데이2'를 함께하는 데 뜻을 모으고 준비에 들어갔다. 현재 일정을 조율 중인 것으로 알려졌다.",2025-12-10,별빛나무,2025-12-10
MBC,1.뽐뿌,https://www.ppomppu.co.kr/zboard/view.php?id=freeboard&no=9754240&keyword=MBC,올해 수능 만점자 인터뷰 - 학교 공부 위주로 공부 했습니다,5일 광주 서구 화정동 서석고등학교에서 2026학년도 대학수학능력시험 만점자 재학생 최장우 군이 성적표를 받고 있,2025-12-10,,2025-12-10
MBC,1.뽐뿌,https://www.ppomppu.co.kr/zboard/view.php?id=freeboard&no=9754237&keyword=MBC,단독) 박나래 게이트 ㄷ.,,2025-12-10,NVlDIA,2025-12-10
MBC,1.뽐뿌,https://www.ppomppu.co.kr/zboard/view.php?id=freeboard&no=9753955&keyword=MBC,독도에 손 뻗치는 다카이치.. 국제법상으로도 명백히 일본 영토  YTN,짱개 모가지 짤린다니까 깨개개개깽 하더니... 역시 만만한 한국이냐? ㅎㅎㅎㅎㅎ 아베 시즌2 일본 여행 단절 유니클로 불매 맥주 불매 가즈아~ 하면 안하겠죠? 아무튼 도발기는 들어왔네요.,2025-12-10,,2025-12-10
